"","species1","species2","SI","site"
"1","Achillea_millefolium","Achillea_millefolium"," 0.000000e+00","Road"
"2","Androsace_septentrionalis","Achillea_millefolium"," 1.110223e-16","Road"
"3","Artemisia_tridentata","Achillea_millefolium"," 3.333333e-01","Road"
"4","Cirsium_arvense","Achillea_millefolium"," 3.333333e-01","Road"
"5","Collomia_linearis","Achillea_millefolium"," 1.110223e-16","Road"
"6","Dasiphora_fruticosa","Achillea_millefolium"," 3.020134e-01","Road"
"7","Delphinium_nuttalliianum","Achillea_millefolium"," 1.110223e-16","Road"
"8","Ericameria_nauseosa","Achillea_millefolium"," 4.814815e-01","Road"
"9","Erigeron_speciosus","Achillea_millefolium"," 5.849057e-01","Road"
"10","Gayophytum_diffusum","Achillea_millefolium"," 1.110223e-16","Road"
"11","Gayophytum_spp","Achillea_millefolium"," 1.110223e-16","Road"
"12","Geranium_richardsonii","Achillea_millefolium"," 1.110223e-16","Road"
"13","Geum_trifolium","Achillea_millefolium"," 1.110223e-16","Road"
"14","Hymenoxys_hoopesii","Achillea_millefolium"," 1.110223e-16","Road"
"15","Lathyrus_leucanthus","Achillea_millefolium"," 1.110223e-16","Road"
"16","Lupinus_bakeri","Achillea_millefolium"," 1.110223e-16","Road"
"17","Mertensia_brevistyla","Achillea_millefolium"," 1.110223e-16","Road"
"18","Noccaea_fendleri","Achillea_millefolium"," 1.110223e-16","Road"
"19","Potentilla_gracilis","Achillea_millefolium"," 1.110223e-16","Road"
"20","Primula_pauciflora","Achillea_millefolium"," 1.110223e-16","Road"
"21","Ranunculus_alismifolius","Achillea_millefolium"," 1.110223e-16","Road"
"22","Senecio_interrigrimus","Achillea_millefolium"," 1.110223e-16","Road"
"23","Taraxacum_officional","Achillea_millefolium"," 1.110223e-16","Road"
"24","Tragopogon_dubius","Achillea_millefolium"," 1.110223e-16","Road"
"25","Valeriana_occidentalis","Achillea_millefolium"," 1.110223e-16","Road"
"26","Viola_nuttalliii","Achillea_millefolium"," 1.110223e-16","Road"
"27","Achillea_millefolium","Androsace_septentrionalis"," 1.110223e-16","Road"
"28","Androsace_septentrionalis","Androsace_septentrionalis"," 0.000000e+00","Road"
"29","Artemisia_tridentata","Androsace_septentrionalis"," 0.000000e+00","Road"
"30","Cirsium_arvense","Androsace_septentrionalis"," 0.000000e+00","Road"
"31","Collomia_linearis","Androsace_septentrionalis"," 8.452381e-01","Road"
"32","Dasiphora_fruticosa","Androsace_septentrionalis"," 1.476510e-01","Road"
"33","Delphinium_nuttalliianum","Androsace_septentrionalis"," 0.000000e+00","Road"
"34","Ericameria_nauseosa","Androsace_septentrionalis"," 0.000000e+00","Road"
"35","Erigeron_speciosus","Androsace_septentrionalis","-2.220446e-16","Road"
"36","Gayophytum_diffusum","Androsace_septentrionalis"," 3.333333e-01","Road"
