"","V2","V2.1","weight"
"95","Collomia.linearis","Chrysothamnus.viscidiflorus",0.00368
"96","Delphinium.nelsonii","Chrysothamnus.viscidiflorus",0
"97","Erigeron.speciosus","Chrysothamnus.viscidiflorus",0.109
"98","Eriogonum.umbellatum","Chrysothamnus.viscidiflorus",0
"99","Gayophytum.diffusum","Chrysothamnus.viscidiflorus",0
"100","Geranium.richardsonii","Chrysothamnus.viscidiflorus",0.0235
"101","Lathyrus.leucanthus","Chrysothamnus.viscidiflorus",0
"102","Linaria.vulgaris","Chrysothamnus.viscidiflorus",0.357
"103","Lupinus.bakeri","Chrysothamnus.viscidiflorus",0
"104","Madia.glomerata","Chrysothamnus.viscidiflorus",0.643
"105","Potentilla.fruticosa","Chrysothamnus.viscidiflorus",0.3
"106","Potentilla.gracilis","Chrysothamnus.viscidiflorus",0
"107","Ranunculus.inamoenus","Chrysothamnus.viscidiflorus",0
"108","Taraxacum.officinales","Chrysothamnus.viscidiflorus",0
"109","Valeriana.occidentalis","Chrysothamnus.viscidiflorus",0
"110","Veratrum.tenuipetalum","Chrysothamnus.viscidiflorus",0
"111","Achillea.millefolium","Cirsium.arvense",0.333
"112","Agoseris.aurantiaca","Cirsium.arvense",0
"113","Androsace.septentrionalis","Cirsium.arvense",0
"114","Artemisia.tridentata","Cirsium.arvense",1
"115","Chrysothamnus.viscidiflorus","Cirsium.arvense",0.643
"116","Cirsium.arvense","Cirsium.arvense",0
"117","Collomia.linearis","Cirsium.arvense",0.00368
"118","Delphinium.nelsonii","Cirsium.arvense",0
"119","Erigeron.speciosus","Cirsium.arvense",0.046
"120","Eriogonum.umbellatum","Cirsium.arvense",0
"121","Gayophytum.diffusum","Cirsium.arvense",0
"122","Geranium.richardsonii","Cirsium.arvense",0
"123","Lathyrus.leucanthus","Cirsium.arvense",0
"124","Linaria.vulgaris","Cirsium.arvense",0
"125","Lupinus.bakeri","Cirsium.arvense",0
"126","Madia.glomerata","Cirsium.arvense",1
"127","Potentilla.fruticosa","Cirsium.arvense",0.182
"128","Potentilla.gracilis","Cirsium.arvense",0
"129","Ranunculus.inamoenus","Cirsium.arvense",0
"130","Taraxacum.officinales","Cirsium.arvense",0
"131","Valeriana.occidentalis","Cirsium.arvense",0
"132","Veratrum.tenuipetalum","Cirsium.arvense",0
"133","Achillea.millefolium","Collomia.linearis",0.0809
"134","Agoseris.aurantiaca","Collomia.linearis",0.0772
"135","Androsace.septentrionalis","Collomia.linearis",0
"136","Artemisia.tridentata","Collomia.linearis",0.00368
"137","Chrysothamnus.viscidiflorus","Collomia.linearis",0.00368
"138","Cirsium.arvense","Collomia.linearis",0.00368
"139","Collomia.linearis","Collomia.linearis",0
"140","Delphinium.nelsonii","Collomia.linearis",0
"141","Erigeron.speciosus","Collomia.linearis",0.155
"142","Eriogonum.umbellatum","Collomia.linearis",0.313
"143","Gayophytum.diffusum","Collomia.linearis",0
"144","Geranium.richardsonii","Collomia.linearis",0.568
"145","Lathyrus.leucanthus","Collomia.linearis",0.184
"146","Linaria.vulgaris","Collomia.linearis",0
"147","Lupinus.bakeri","Collomia.linearis",0.391
"148","Madia.glomerata","Collomia.linearis",0.00368
"149","Potentilla.fruticosa","Collomia.linearis",0.337
"150","Potentilla.gracilis","Collomia.linearis",0.693
"151","Ranunculus.inamoenus","Collomia.linearis",0.0331
"152","Taraxacum.officinales","Collomia.linearis",0
"153","Valeriana.occidentalis","Collomia.linearis",0
"154","Veratrum.tenuipetalum","Collomia.linearis",0.0699
"155","Achillea.millefolium","Delphinium.nelsonii",0
"156","Agoseris.aurantiaca","Delphinium.nelsonii",0
"157","Androsace.septentrionalis","Delphinium.nelsonii",0
"158","Artemisia.tridentata","Delphinium.nelsonii",0
"159","Chrysothamnus.viscidiflorus","Delphinium.nelsonii",0
"160","Cirsium.arvense","Delphinium.nelsonii",0
"161","Collomia.linearis","Delphinium.nelsonii",0
"162","Delphinium.nelsonii","Delphinium.nelsonii",0
"163","Erigeron.speciosus","Delphinium.nelsonii",0
"164","Eriogonum.umbellatum","Delphinium.nelsonii",0
"165","Gayophytum.diffusum","Delphinium.nelsonii",0
"166","Geranium.richardsonii","Delphinium.nelsonii",0
"167","Lathyrus.leucanthus","Delphinium.nelsonii",0
"168","Linaria.vulgaris","Delphinium.nelsonii",0
"169","Lupinus.bakeri","Delphinium.nelsonii",0
"170","Madia.glomerata","Delphinium.nelsonii",0
"171","Potentilla.fruticosa","Delphinium.nelsonii",4.46e-14
"172","Potentilla.gracilis","Delphinium.nelsonii",0
"173","Ranunculus.inamoenus","Delphinium.nelsonii",0.714
"174","Taraxacum.officinales","Delphinium.nelsonii",0.417
"175","Valeriana.occidentalis","Delphinium.nelsonii",1
"176","Veratrum.tenuipetalum","Delphinium.nelsonii",0
"177","Achillea.millefolium","Erigeron.speciosus",0.259
"178","Agoseris.aurantiaca","Erigeron.speciosus",0.151
"179","Androsace.septentrionalis","Erigeron.speciosus",0
"180","Artemisia.tridentata","Erigeron.speciosus",0.046
"181","Chrysothamnus.viscidiflorus","Erigeron.speciosus",0.109
"182","Cirsium.arvense","Erigeron.speciosus",0.046
"183","Collomia.linearis","Erigeron.speciosus",0.155
"184","Delphinium.nelsonii","Erigeron.speciosus",0
"185","Erigeron.speciosus","Erigeron.speciosus",0
"186","Eriogonum.umbellatum","Erigeron.speciosus",0.155
"187","Gayophytum.diffusum","Erigeron.speciosus",0.393
"188","Geranium.richardsonii","Erigeron.speciosus",0.32
"189","Lathyrus.leucanthus","Erigeron.speciosus",0
"190","Linaria.vulgaris","Erigeron.speciosus",0.0628
"191","Lupinus.bakeri","Erigeron.speciosus",0.0899
"192","Madia.glomerata","Erigeron.speciosus",0.046
"193","Potentilla.fruticosa","Erigeron.speciosus",0.559
"194","Potentilla.gracilis","Erigeron.speciosus",0.459
"195","Ranunculus.inamoenus","Erigeron.speciosus",0
"196","Taraxacum.officinales","Erigeron.speciosus",0
"197","Valeriana.occidentalis","Erigeron.speciosus",0
"198","Veratrum.tenuipetalum","Erigeron.speciosus",0.343
"199","Achillea.millefolium","Eriogonum.umbellatum",0.333
"200","Agoseris.aurantiaca","Eriogonum.umbellatum",0.481
"201","Androsace.septentrionalis","Eriogonum.umbellatum",0
"202","Artemisia.tridentata","Eriogonum.umbellatum",0
"203","Chrysothamnus.viscidiflorus","Eriogonum.umbellatum",0
"204","Cirsium.arvense","Eriogonum.umbellatum",0
"205","Collomia.linearis","Eriogonum.umbellatum",0.313
"206","Delphinium.nelsonii","Eriogonum.umbellatum",0
"207","Erigeron.speciosus","Eriogonum.umbellatum",0.155
"208","Eriogonum.umbellatum","Eriogonum.umbellatum",0
"209","Gayophytum.diffusum","Eriogonum.umbellatum",0
"210","Geranium.richardsonii","Eriogonum.umbellatum",0.538
"211","Lathyrus.leucanthus","Eriogonum.umbellatum",0.463
"212","Linaria.vulgaris","Eriogonum.umbellatum",0
"213","Lupinus.bakeri","Eriogonum.umbellatum",0.276
"214","Madia.glomerata","Eriogonum.umbellatum",0
"215","Potentilla.fruticosa","Eriogonum.umbellatum",0.297
"216","Potentilla.gracilis","Eriogonum.umbellatum",0.291
"217","Ranunculus.inamoenus","Eriogonum.umbellatum",0.037
"218","Taraxacum.officinales","Eriogonum.umbellatum",0
"219","Valeriana.occidentalis","Eriogonum.umbellatum",0
"220","Veratrum.tenuipetalum","Eriogonum.umbellatum",0
"221","Achillea.millefolium","Gayophytum.diffusum",0
"222","Agoseris.aurantiaca","Gayophytum.diffusum",0
"223","Androsace.septentrionalis","Gayophytum.diffusum",0
"224","Artemisia.tridentata","Gayophytum.diffusum",0
"225","Chrysothamnus.viscidiflorus","Gayophytum.diffusum",0
"226","Cirsium.arvense","Gayophytum.diffusum",0
"227","Collomia.linearis","Gayophytum.diffusum",0
"228","Delphinium.nelsonii","Gayophytum.diffusum",0
"229","Erigeron.speciosus","Gayophytum.diffusum",0.393
"230","Eriogonum.umbellatum","Gayophytum.diffusum",0
"231","Gayophytum.diffusum","Gayophytum.diffusum",0
"232","Geranium.richardsonii","Gayophytum.diffusum",0.0176
"233","Lathyrus.leucanthus","Gayophytum.diffusum",0
"234","Linaria.vulgaris","Gayophytum.diffusum",0
"235","Lupinus.bakeri","Gayophytum.diffusum",0
"236","Madia.glomerata","Gayophytum.diffusum",0
"237","Potentilla.fruticosa","Gayophytum.diffusum",0.212
"238","Potentilla.gracilis","Gayophytum.diffusum",0.0227
