"","species1","species2","SI"
"381","Lathyrus.leucanthus","Mertensia.ciliata",NA
"382","Linaria.vulgaris","Mertensia.ciliata",NA
"383","Lupinus.bakeri","Mertensia.ciliata",NA
"384","Madia.glomerata","Mertensia.ciliata",NA
"385","Mertensia.ciliata","Mertensia.ciliata"," 0.000000e+00"
"386","Potentilla.fruticosa","Mertensia.ciliata",NA
"387","Potentilla.gracilis","Mertensia.ciliata",NA
"388","Ranunculus.inamoenus","Mertensia.ciliata",NA
"389","Taraxacum.officinales","Mertensia.ciliata",NA
"390","Valeriana.occidentalis","Mertensia.ciliata",NA
"391","Veratrum.tenuipetalum","Mertensia.ciliata",NA
"392","Achillea.millefolium","Potentilla.fruticosa"," 4.926108e-01"
"393","Agoseris.aurantiaca","Potentilla.fruticosa"," 1.921182e-01"
"394","Androsace.septentrionalis","Potentilla.fruticosa"," 1.477833e-02"
"395","Artemisia.tridentata","Potentilla.fruticosa"," 1.822660e-01"
"396","Chrysothamnus.viscidiflorus","Potentilla.fruticosa"," 3.004926e-01"
"397","Cirsium.arvense","Potentilla.fruticosa"," 1.822660e-01"
"398","Collomia.linearis","Potentilla.fruticosa"," 3.365329e-01"
"399","Delphinium.nelsonii","Potentilla.fruticosa","-2.220446e-16"
"400","Erigeron.speciosus","Potentilla.fruticosa"," 5.591648e-01"
"401","Eriogonum.umbellatum","Potentilla.fruticosa"," 2.969349e-01"
"402","Gayophytum.diffusum","Potentilla.fruticosa"," 2.118227e-01"
"403","Geranium.richardsonii","Potentilla.fruticosa"," 5.258476e-01"
"404","Lathyrus.leucanthus","Potentilla.fruticosa"," 6.403941e-02"
"405","Linaria.vulgaris","Potentilla.fruticosa"," 1.182266e-01"
"406","Lupinus.bakeri","Potentilla.fruticosa"," 2.817734e-01"
"407","Madia.glomerata","Potentilla.fruticosa"," 1.822660e-01"
"408","Mertensia.ciliata","Potentilla.fruticosa",NA
"409","Potentilla.fruticosa","Potentilla.fruticosa"," 0.000000e+00"
"410","Potentilla.gracilis","Potentilla.fruticosa"," 3.728168e-01"
"411","Ranunculus.inamoenus","Potentilla.fruticosa"," 4.433498e-02"
"412","Taraxacum.officinales","Potentilla.fruticosa"," 1.477833e-02"
"413","Valeriana.occidentalis","Potentilla.fruticosa","-2.220446e-16"
"414","Veratrum.tenuipetalum","Potentilla.fruticosa"," 8.374384e-02"
"415","Achillea.millefolium","Potentilla.gracilis"," 1.136364e-01"
"416","Agoseris.aurantiaca","Potentilla.gracilis"," 1.136364e-01"
"417","Androsace.septentrionalis","Potentilla.gracilis"," 1.110223e-16"
"418","Artemisia.tridentata","Potentilla.gracilis"," 0.000000e+00"
"419","Chrysothamnus.viscidiflorus","Potentilla.gracilis"," 0.000000e+00"
"420","Cirsium.arvense","Potentilla.gracilis"," 0.000000e+00"
"421","Collomia.linearis","Potentilla.gracilis"," 6.925134e-01"
"422","Delphinium.nelsonii","Potentilla.gracilis"," 1.110223e-16"
"423","Erigeron.speciosus","Potentilla.gracilis"," 4.587296e-01"
"424","Eriogonum.umbellatum","Potentilla.gracilis"," 2.912458e-01"
"425","Gayophytum.diffusum","Potentilla.gracilis"," 2.272727e-02"
"426","Geranium.richardsonii","Potentilla.gracilis"," 6.430481e-01"
"427","Lathyrus.leucanthus","Potentilla.gracilis"," 1.590909e-01"
"428","Linaria.vulgaris","Potentilla.gracilis"," 0.000000e+00"
"429","Lupinus.bakeri","Potentilla.gracilis"," 3.714286e-01"
"430","Madia.glomerata","Potentilla.gracilis"," 0.000000e+00"
"431","Mertensia.ciliata","Potentilla.gracilis",NA
"432","Potentilla.fruticosa","Potentilla.gracilis"," 3.728168e-01"
"433","Potentilla.gracilis","Potentilla.gracilis"," 0.000000e+00"
"434","Ranunculus.inamoenus","Potentilla.gracilis"," 1.110223e-16"
"435","Taraxacum.officinales","Potentilla.gracilis"," 1.110223e-16"
"436","Valeriana.occidentalis","Potentilla.gracilis"," 1.110223e-16"
"437","Veratrum.tenuipetalum","Potentilla.gracilis"," 3.181818e-01"
"438","Achillea.millefolium","Ranunculus.inamoenus"," 1.110223e-16"
"439","Agoseris.aurantiaca","Ranunculus.inamoenus"," 0.000000e+00"
"440","Androsace.septentrionalis","Ranunculus.inamoenus"," 0.000000e+00"
"441","Artemisia.tridentata","Ranunculus.inamoenus"," 0.000000e+00"
"442","Chrysothamnus.viscidiflorus","Ranunculus.inamoenus"," 0.000000e+00"
"443","Cirsium.arvense","Ranunculus.inamoenus"," 0.000000e+00"
"444","Collomia.linearis","Ranunculus.inamoenus"," 3.308824e-02"
"445","Delphinium.nelsonii","Ranunculus.inamoenus"," 7.142857e-01"
"446","Erigeron.speciosus","Ranunculus.inamoenus"," 0.000000e+00"
"447","Eriogonum.umbellatum","Ranunculus.inamoenus"," 3.703704e-02"
"448","Gayophytum.diffusum","Ranunculus.inamoenus"," 0.000000e+00"
"449","Geranium.richardsonii","Ranunculus.inamoenus"," 5.882353e-02"
"450","Lathyrus.leucanthus","Ranunculus.inamoenus"," 1.110223e-16"
"451","Linaria.vulgaris","Ranunculus.inamoenus"," 0.000000e+00"
"452","Lupinus.bakeri","Ranunculus.inamoenus"," 2.857143e-02"
"453","Madia.glomerata","Ranunculus.inamoenus"," 0.000000e+00"
"454","Mertensia.ciliata","Ranunculus.inamoenus",NA
"455","Potentilla.fruticosa","Ranunculus.inamoenus"," 4.433498e-02"
"456","Potentilla.gracilis","Ranunculus.inamoenus"," 1.110223e-16"
"457","Ranunculus.inamoenus","Ranunculus.inamoenus"," 0.000000e+00"
"458","Taraxacum.officinales","Ranunculus.inamoenus"," 4.166667e-01"
"459","Valeriana.occidentalis","Ranunculus.inamoenus"," 7.142857e-01"
"460","Veratrum.tenuipetalum","Ranunculus.inamoenus"," 0.000000e+00"
"461","Achillea.millefolium","Taraxacum.officinales"," 1.110223e-16"
"462","Agoseris.aurantiaca","Taraxacum.officinales"," 0.000000e+00"
"463","Androsace.septentrionalis","Taraxacum.officinales"," 5.833333e-01"
"464","Artemisia.tridentata","Taraxacum.officinales"," 0.000000e+00"
"465","Chrysothamnus.viscidiflorus","Taraxacum.officinales"," 0.000000e+00"
"466","Cirsium.arvense","Taraxacum.officinales"," 0.000000e+00"
"467","Collomia.linearis","Taraxacum.officinales"," 0.000000e+00"
"468","Delphinium.nelsonii","Taraxacum.officinales"," 4.166667e-01"
"469","Erigeron.speciosus","Taraxacum.officinales"," 0.000000e+00"
"470","Eriogonum.umbellatum","Taraxacum.officinales"," 0.000000e+00"
"471","Gayophytum.diffusum","Taraxacum.officinales"," 0.000000e+00"
"472","Geranium.richardsonii","Taraxacum.officinales"," 1.176471e-02"
"473","Lathyrus.leucanthus","Taraxacum.officinales"," 4.444444e-01"
"474","Linaria.vulgaris","Taraxacum.officinales"," 0.000000e+00"
"475","Lupinus.bakeri","Taraxacum.officinales"," 5.833333e-01"
"476","Madia.glomerata","Taraxacum.officinales"," 0.000000e+00"
"477","Mertensia.ciliata","Taraxacum.officinales",NA
"478","Potentilla.fruticosa","Taraxacum.officinales"," 1.477833e-02"
"479","Potentilla.gracilis","Taraxacum.officinales"," 1.110223e-16"
"480","Ranunculus.inamoenus","Taraxacum.officinales"," 4.166667e-01"
"481","Taraxacum.officinales","Taraxacum.officinales"," 0.000000e+00"
"482","Valeriana.occidentalis","Taraxacum.officinales"," 4.166667e-01"
"483","Veratrum.tenuipetalum","Taraxacum.officinales"," 0.000000e+00"
"484","Achillea.millefolium","Valeriana.occidentalis"," 1.110223e-16"
"485","Agoseris.aurantiaca","Valeriana.occidentalis"," 0.000000e+00"
"486","Androsace.septentrionalis","Valeriana.occidentalis"," 0.000000e+00"
"487","Artemisia.tridentata","Valeriana.occidentalis"," 0.000000e+00"
"488","Chrysothamnus.viscidiflorus","Valeriana.occidentalis"," 0.000000e+00"
"489","Cirsium.arvense","Valeriana.occidentalis"," 0.000000e+00"
"490","Collomia.linearis","Valeriana.occidentalis"," 0.000000e+00"
"491","Delphinium.nelsonii","Valeriana.occidentalis"," 1.000000e+00"
"492","Erigeron.speciosus","Valeriana.occidentalis"," 0.000000e+00"
"493","Eriogonum.umbellatum","Valeriana.occidentalis"," 0.000000e+00"
"494","Gayophytum.diffusum","Valeriana.occidentalis"," 0.000000e+00"
"495","Geranium.richardsonii","Valeriana.occidentalis"," 0.000000e+00"
"496","Lathyrus.leucanthus","Valeriana.occidentalis"," 0.000000e+00"
"497","Linaria.vulgaris","Valeriana.occidentalis"," 0.000000e+00"
"498","Lupinus.bakeri","Valeriana.occidentalis"," 1.110223e-16"
"499","Madia.glomerata","Valeriana.occidentalis"," 0.000000e+00"
"500","Mertensia.ciliata","Valeriana.occidentalis",NA
"501","Potentilla.fruticosa","Valeriana.occidentalis","-2.220446e-16"
"502","Potentilla.gracilis","Valeriana.occidentalis"," 1.110223e-16"
"503","Ranunculus.inamoenus","Valeriana.occidentalis"," 7.142857e-01"
"504","Taraxacum.officinales","Valeriana.occidentalis"," 4.166667e-01"
"505","Valeriana.occidentalis","Valeriana.occidentalis"," 0.000000e+00"
"506","Veratrum.tenuipetalum","Valeriana.occidentalis"," 0.000000e+00"
"507","Achillea.millefolium","Veratrum.tenuipetalum"," 1.110223e-16"
"508","Agoseris.aurantiaca","Veratrum.tenuipetalum"," 0.000000e+00"
"509","Androsace.septentrionalis","Veratrum.tenuipetalum"," 0.000000e+00"
"510","Artemisia.tridentata","Veratrum.tenuipetalum"," 0.000000e+00"
"511","Chrysothamnus.viscidiflorus","Veratrum.tenuipetalum"," 0.000000e+00"
"512","Cirsium.arvense","Veratrum.tenuipetalum"," 0.000000e+00"
"513","Collomia.linearis","Veratrum.tenuipetalum"," 6.985294e-02"
"514","Delphinium.nelsonii","Veratrum.tenuipetalum"," 0.000000e+00"
"515","Erigeron.speciosus","Veratrum.tenuipetalum"," 3.430962e-01"
"516","Eriogonum.umbellatum","Veratrum.tenuipetalum"," 0.000000e+00"
"517","Gayophytum.diffusum","Veratrum.tenuipetalum"," 0.000000e+00"
"518","Geranium.richardsonii","Veratrum.tenuipetalum"," 1.235294e-01"
"519","Lathyrus.leucanthus","Veratrum.tenuipetalum"," 0.000000e+00"
"520","Linaria.vulgaris","Veratrum.tenuipetalum"," 0.000000e+00"
"521","Lupinus.bakeri","Veratrum.tenuipetalum"," 0.000000e+00"
"522","Madia.glomerata","Veratrum.tenuipetalum"," 0.000000e+00"
"523","Mertensia.ciliata","Veratrum.tenuipetalum",NA
"524","Potentilla.fruticosa","Veratrum.tenuipetalum"," 8.374384e-02"
"525","Potentilla.gracilis","Veratrum.tenuipetalum"," 3.181818e-01"
"526","Ranunculus.inamoenus","Veratrum.tenuipetalum"," 0.000000e+00"
"527","Taraxacum.officinales","Veratrum.tenuipetalum"," 0.000000e+00"
"528","Valeriana.occidentalis","Veratrum.tenuipetalum"," 0.000000e+00"
"529","Veratrum.tenuipetalum","Veratrum.tenuipetalum"," 0.000000e+00"
